iter	RMSE
0	1160.905764
1	1108.323564
2	1060.038357
3	1015.365591
4	973.4353222
5	934.8836233
6	899.5330273
7	865.3978927
8	833.018799
9	804.4754512
10	778.2749705
11	753.8193704
12	731.080956
13	710.2916094
14	691.2212773
15	673.6334014
16	657.6906836
17	642.6108801
18	628.9804435
19	616.7415437
20	605.2943164
21	595.2423972
22	585.7050915
23	576.8525827
24	568.6678573
25	560.9013855
26	554.7401368
27	548.9435684
28	543.4551478
29	537.9208559
30	533.2260026
31	529.0390755
32	524.9634637
33	521.5686707
34	518.5964376
35	515.833331
36	513.146765
37	510.6717106
38	508.6178694
39	506.7404792
40	505.0156281
41	503.1040523
42	501.4174428
43	500.0367846
44	498.6158908
45	497.2979418
46	496.2698382
47	495.0556207
48	494.0888595
49	493.1947971
50	492.3490204
51	491.5117824
52	490.7792969
53	490.1284208
54	489.3290363
55	488.7228994
56	488.0976887
57	487.6047104
58	487.1227725
59	486.6558319
60	486.1612172
61	485.6403066
62	485.2782591
63	484.9853447
64	484.7201352
65	484.3157773
66	483.9423571
67	483.7086248
68	483.4254096
69	483.1551616
70	482.9461708
71	482.6675979
72	482.3028658
73	482.0025641
74	481.760082
75	481.5532471
76	481.3549417
77	481.1328969
78	480.9759789
79	480.797126
80	480.6265206
81	480.4774299
82	480.2663856
83	480.0432222
84	479.807547
85	479.6128495
86	479.4713388
87	479.360352
88	479.1933189
89	479.1163753
90	478.9436116
91	478.7431734
92	478.616108
93	478.4376193
94	478.3611658
95	478.2095121
96	478.0949904
97	477.9592583
98	477.7726872
99	477.5855793
100	477.474664
101	477.3275112
102	477.183577
103	477.0876587
104	476.9315343
105	476.7615665
106	476.6711458
107	476.5234062
108	476.4259204
109	476.3572204
110	476.2692948
111	476.0865895
112	476.0024061
113	475.873104
114	475.7479989
115	475.6212141
116	475.531225
117	475.4243207
118	475.3004535
119	475.1989062
120	475.0352864
121	474.9375766
122	474.8368021
123	474.7059678
124	474.5529244
125	474.5232395
126	474.4325358
127	474.3388044
128	474.2566105
129	474.2105953
130	474.1484231
131	474.0508962
132	473.8709389
133	473.7447736
134	473.6806021
135	473.5733291
136	473.5308328
137	473.4785285
138	473.3954389
139	473.2566968
140	473.1474637
141	473.067216
142	472.9511048
143	472.8668464
144	472.7493294
145	472.6545088
146	472.5715191
147	472.4871073
148	472.4169386
149	472.3349045
150	472.2595683
151	472.1562845
152	472.0419242
153	471.9745574
154	471.8797553
155	471.7965813
156	471.6809247
157	471.5920837
158	471.4673199
159	471.3578934
160	471.2311202
161	471.1829518
162	471.1072668
163	470.9910817
164	470.9407547
165	470.8548376
166	470.7516227
167	470.6360439
168	470.5417633
169	470.45542
170	470.3936041
171	470.2208825
172	470.116647
173	469.9869914
174	469.9157115
175	469.7920588
176	469.6693429
177	469.5623864
178	469.437533
179	469.3474293
180	469.2902181
181	469.197891
182	469.0750499
183	468.9536844
184	468.8939366
185	468.772256
186	468.7189917
187	468.5914833
188	468.4546108
189	468.3818355
190	468.3420267
191	468.2221388
192	468.1443042
193	468.0232822
194	467.9555435
195	467.9163642
196	467.8567028
197	467.826645
198	467.7104534
199	467.5907378
200	467.5818379
201	467.5738785
202	467.4978329
203	467.427589
204	467.4018828
205	467.3808276
206	467.3671049
207	467.3609474
208	467.3337356
209	467.2873467
210	467.1673822
211	467.0527289
212	466.9111517
213	466.7747736
214	466.7686529
215	466.7417417
216	466.7257046
217	466.6221027
218	466.5690239
219	466.3745703
220	466.3187637
221	466.3023285
222	466.182681
223	466.07809
224	465.9684485
225	465.8515244
226	465.7380815
227	465.6474298
228	465.5686871
229	465.5442197
230	465.3959136
231	465.3374945
232	465.330984
233	465.2142532
234	465.1084
235	465.0461212
236	464.9667893
237	464.9295167
238	464.7901959
239	464.7703875
240	464.654508
241	464.6401271
242	464.5547488
243	464.4540671
244	464.3505013
245	464.2674344
246	464.2294828
247	464.1291714
248	464.0595259
249	464.0125157
250	463.9244259
251	463.8568236
252	463.8527596
253	463.7483506
254	463.7440626
255	463.663732
256	463.6488823
257	463.5878198
258	463.5086191
259	463.4363489
260	463.348651
261	463.2720212
262	463.1704564
263	463.1107673
264	462.9768055
265	462.9479372
266	462.8997539
267	462.809211
268	462.7141345
269	462.5639324
270	462.4934272
271	462.398876
272	462.3133296
273	462.1985446
274	462.1461982
275	462.0411785
276	461.9764962
277	461.8976248
278	461.8077173
279	461.7107051
280	461.6655858
281	461.5717043
282	461.5263305
283	461.4273644
284	461.3951252
285	461.330647
286	461.2542662
287	461.1490547
288	461.1364907
289	461.1038319
290	461.0664731
291	460.9777981
292	460.9342806
293	460.9199478
294	460.8128268
295	460.7049833
296	460.6950693
297	460.59569
298	460.5072441
299	460.4206979
300	460.3633086
301	460.3129646
302	460.2339465
303	460.2176885
304	460.2146656
305	460.1457349
306	460.0697958
307	460.0018443
308	459.9322935
309	459.8309662
310	459.750888
311	459.6597278
312	459.5912692
313	459.5325589
314	459.4462563
315	459.3303204
316	459.2664534
317	459.2184757
318	459.1611056
319	459.0790639
320	458.9853321
321	458.9035117
322	458.872018
323	458.8279149
324	458.7485858
325	458.6842251
326	458.6176978
327	458.5601241
328	458.4863814
329	458.351233
330	458.3005317
331	458.2003166
332	458.1109976
333	458.1083262
334	458.0658121
335	458.013595
336	458.0110296
337	457.9483015
338	457.8789476
339	457.787549
340	457.7069349
341	457.621848
342	457.6170676
343	457.6143407
344	457.6115724
345	457.4891681
346	457.4010365
347	457.3110596
348	457.2471323
349	457.2085213
350	457.1399624
351	457.0802816
352	457.0131472
353	456.9308875
354	456.9087833
355	456.8121498
356	456.7577401
357	456.6771501
358	456.5997404
359	456.4935829
360	456.4487154
361	456.4184744
362	456.3543035
363	456.2922343
364	456.2710928
365	456.1766475
366	456.1698877
367	456.1044608
368	456.0633307
369	455.9876849
370	455.912955
371	455.8345225
372	455.7425397
373	455.6646827
374	455.6180924
375	455.5375543
376	455.4810769
377	455.3980126
378	455.3224263
379	455.267117
380	455.2253113
381	455.173781
382	455.1147013
383	455.0320431
384	454.9637054
385	454.9209708
386	454.816561
387	454.7993878
388	454.7188046
389	454.6403849
390	454.5776278
391	454.5696218
392	454.5242922
393	454.4705838
394	454.4167328
395	454.3731778
396	454.270361
397	454.2212708
398	454.1687299
399	454.1068991
400	454.0076339
401	453.9778739
402	453.86016
403	453.8527995
404	453.8355936
405	453.762821
406	453.7043553
407	453.6319568
408	453.5443357
409	453.4576508
410	453.393448
411	453.3041418
412	453.2973478
413	453.2297373
414	453.1849798
415	453.1423074
416	453.0559735
417	452.9676263
418	452.9273308
419	452.8539403
420	452.7688948
421	452.7033798
422	452.7001939
423	452.6247972
424	452.5618061
425	452.4878361
426	452.4856178
427	452.4228614
428	452.3943914
429	452.3329376
430	452.2923555
431	452.2678383
432	452.219731
433	452.1007575
434	452.0711686
435	452.0209368
436	451.9624839
437	451.9298039
438	451.8583704
439	451.793788
440	451.6770657
441	451.620568
442	451.6194134
443	451.6182347
444	451.6024125
445	451.5700582
446	451.5062899
447	451.5029934
448	451.4689456
449	451.4661722
450	451.4375492
451	451.3488839
452	451.2677178
453	451.2102959
454	451.1354007
455	451.0594527
456	450.982608
457	450.9530862
458	450.9474242
459	450.9382996
460	450.9033453
461	450.8575131
462	450.7784722
463	450.7133284
464	450.6498232
465	450.6050219
466	450.5269553
467	450.4500883
468	450.3848864
469	450.2804361
470	450.2049975
471	450.1506637
472	450.1018645
473	450.0548796
474	449.993666
475	449.9586123
476	449.9096415
477	449.8712442
478	449.8111822
479	449.7445252
480	449.6564042
481	449.6413306
482	449.636345
483	449.592003
484	449.4864801
485	449.4168773
486	449.3547786
487	449.3428113
488	449.279151
489	449.2742144
490	449.1487674
491	449.0851888
492	449.0316524
493	448.9707616
494	448.9019775
495	448.8437765
496	448.7952513
497	448.7386793
498	448.6665354
499	448.619058
500	448.5211613
501	448.4968328
502	448.421255
503	448.3528153
504	448.2446434
505	448.2227586
506	448.1875736
507	448.1801742
508	448.1556511
509	448.0898939
510	448.0231682
511	447.9767728
512	447.9166722
513	447.8826655
514	447.8188918
515	447.7176342
516	447.6675178
517	447.5723216
518	447.5317324
519	447.4547275
520	447.4070303
521	447.3771114
522	447.3053428
523	447.2455856
524	447.2212291
525	447.122532
526	447.0733943
527	446.9952726
528	446.9201555
529	446.8447155
530	446.7884378
531	446.7636165
532	446.7134759
533	446.6491153
534	446.5577598
535	446.4777604
536	446.3923211
537	446.3331829
538	446.2405134
539	446.2103546
540	446.1373192
541	446.1342231
542	446.1117651
543	446.0442065
544	445.9601387
545	445.8852141
546	445.8478323
547	445.8199911
548	445.7818037
549	445.7450864
550	445.6777592
551	445.6536014
552	445.5970457
553	445.5855031
554	445.5430234
555	445.5403396
556	445.4744163
557	445.4264475
558	445.424189
559	445.3634194
560	445.2968782
561	445.208673
562	445.1725639
563	445.1191959
564	445.078224
565	445.0462783
566	445.0043145
567	444.9515061
568	444.9471707
569	444.8798225
570	444.8386525
571	444.8064838
572	444.7586948
573	444.7150819
574	444.6543805
575	444.5968903
576	444.5448608
577	444.4824848
578	444.456889
579	444.357545
580	444.2811774
581	444.2793563
582	444.2781981
583	444.2755978
584	444.1929105
585	444.1189081
586	444.0724676
587	444.0032176
588	443.9295594
589	443.9216326
590	443.8900878
591	443.8226546
592	443.7206718
593	443.670642
594	443.597346
595	443.5266442
596	443.5256896
597	443.521944
598	443.4599477
599	443.4560391
600	443.3817213
601	443.3445683
602	443.2887927
603	443.284637
604	443.282098
605	443.2382006
606	443.1816518
607	443.1067325
608	443.0585904
609	443.0552853
610	443.0543732
611	443.0529018
612	443.0038163
613	442.9720594
614	442.9306294
615	442.8294458
616	442.8120737
617	442.8044305
618	442.7180875
619	442.7167464
620	442.7154598
621	442.6575533
622	442.609238
623	442.5702612
624	442.5213689
625	442.4555637
626	442.383428
627	442.3354401
628	442.2834552
629	442.2822493
630	442.2645614
631	442.2153873
632	442.135308
633	442.0729643
634	442.022027
635	442.0064637
636	441.9783468
637	441.9520143
638	441.9336428
639	441.8741981
640	441.7983643
641	441.7317167
642	441.6794097
643	441.6785976
644	441.6016905
645	441.5450942
646	441.5140833
647	441.4646118
648	441.4110552
649	441.3832128
650	441.3330226
651	441.2358747
652	441.1696285
653	441.1516195
654	441.1045474
655	441.0515131
656	440.9994587
657	440.9386407
658	440.858926
659	440.8100739
660	440.7398421
661	440.7388004
662	440.7070258
663	440.6480716
664	440.6343517
665	440.546654
666	440.4885481
667	440.4613404
668	440.3951192
669	440.3725357
670	440.3714264
671	440.3545699
672	440.351825
673	440.3392731
674	440.2808306
675	440.230998
676	440.2197393
677	440.1589682
678	440.1353095
679	440.0811686
680	440.0307887
681	439.9719955
682	439.9449254
683	439.9048344
684	439.8430764
685	439.7965672
686	439.7813056
687	439.6784332
688	439.6565608
689	439.6492665
690	439.563346
691	439.5042835
692	439.4430098
693	439.3545361
694	439.3426295
695	439.3058051
696	439.2676185
697	439.191559
698	439.1685998
699	439.0972395
700	439.0476642
701	438.9683373
702	438.9334817
703	438.8669007
704	438.8289161
705	438.759169
706	438.7298026
707	438.7284785
708	438.659927
709	438.6101646
710	438.5670402
711	438.5236212
712	438.457349
713	438.4116695
714	438.3639947
715	438.3215167
716	438.2794058
717	438.2277545
718	438.1703073
719	438.1676984
720	438.1022352
721	438.0320299
722	437.9476173
723	437.88818
724	437.8313761
725	437.7507912
726	437.6756311
727	437.6219732
728	437.6210592
729	437.5524802
730	437.5164141
731	437.502431
732	437.4992259
733	437.4162031
734	437.3525107
735	437.3427222
736	437.3261771
737	437.2703586
738	437.1895069
739	437.15641
740	437.0923811
741	437.0351175
742	436.9589356
743	436.9354487
744	436.8969383
745	436.8883777
746	436.8465397
747	436.7730044
748	436.7462318
749	436.7000397
750	436.6631795
751	436.6451081
752	436.5714947
753	436.5416423
754	436.483917
755	436.4563511
756	436.4047598
757	436.3900775
758	436.3216938
759	436.2958111
760	436.2490074
761	436.1650388
762	436.1285244
763	436.0378394
764	435.9726145
765	435.960254
766	435.9256378
767	435.9012323
768	435.8584333
769	435.8229856
770	435.796784
771	435.7570689
772	435.6962753
773	435.6441496
774	435.5951064
775	435.5686442
776	435.5380762
777	435.4867892
778	435.4194474
779	435.3672365
780	435.33631
781	435.2834456
782	435.2238073
783	435.1567925
784	435.1129663
785	435.0715956
786	434.9970174
787	434.9500065
788	434.910157
789	434.9090296
790	434.8622657
791	434.8146155
792	434.8070306
793	434.7721541
794	434.7205981
795	434.6427577
796	434.5877642
797	434.5817367
798	434.5232272
799	434.4744174
800	434.4393777
801	434.3919319
802	434.3427174
803	434.2932217
804	434.2352839
805	434.1926199
806	434.1529736
807	434.1141061
808	434.1126635
809	434.0632588
810	434.0360861
811	433.9830845
812	433.9292259
813	433.8940487
814	433.8850382
815	433.819065
816	433.7727441
817	433.7101211
818	433.667808
819	433.6266556
820	433.557779
821	433.4719716
822	433.4049883
823	433.3661273
824	433.3370247
825	433.330935
826	433.279006
827	433.2742122
828	433.2263136
829	433.1897032
830	433.1507197
831	433.1136016
832	433.0531459
833	433.0147294
834	432.9710312
835	432.9330868
836	432.8572445
837	432.7863604
838	432.7448526
839	432.7119943
840	432.6710095
841	432.6264457
842	432.5686547
843	432.5280484
844	432.4699514
845	432.4352512
846	432.3976595
847	432.3659093
848	432.2750594
849	432.2221147
850	432.2013715
851	432.1627291
852	432.1067271
853	432.049846
854	431.9926744
855	431.9512535
856	431.9219807
857	431.8699718
858	431.8323237
859	431.8016059
860	431.7786869
861	431.7465016
862	431.7217556
863	431.6496454
864	431.5949336
865	431.5748733
866	431.5618196
867	431.4842165
868	431.4430725
869	431.3890966
870	431.3659371
871	431.3585294
872	431.328327
873	431.2797165
874	431.2037504
875	431.1561901
876	431.1231483
877	431.0585766
878	431.0209896
879	430.9642113
880	430.9028008
881	430.8641881
882	430.8265002
883	430.7721491
884	430.7609933
885	430.7317528
886	430.6907958
887	430.6365331
888	430.6038384
889	430.5585694
890	430.5237413
891	430.4935654
892	430.4906782
893	430.4856712
894	430.4575712
895	430.4110156
896	430.3839766
897	430.3599643
898	430.2923245
899	430.2301403
900	430.1588404
901	430.1208175
902	430.0865601
903	430.0535729
904	429.9948135
905	429.9500627
906	429.9164328
907	429.8789707
908	429.8192113
909	429.7851437
910	429.751916
911	429.7072222
912	429.6345515
913	429.6319803
914	429.6156312
915	429.5985084
916	429.5649505
917	429.5086207
918	429.4821389
919	429.4541705
920	429.3729286
921	429.3606318
922	429.3032985
923	429.2790134
924	429.21781
925	429.1967912
926	429.1475473
927	429.0771208
928	429.0284326
929	428.9824907
930	428.9429412
931	428.8938465
932	428.8582204
933	428.8486938
934	428.8157039
935	428.7339262
936	428.7017979
937	428.645416
938	428.6028461
939	428.5752708
940	428.5365407
941	428.5360612
942	428.4916528
943	428.4225888
944	428.3962494
945	428.3327424
946	428.2902722
947	428.2626027
948	428.2236485
949	428.1830867
950	428.1413649
951	428.0813075
952	428.052111
953	427.9836962
954	427.9426497
955	427.88776
956	427.8580579
957	427.7924709
958	427.7796747
959	427.7716761
960	427.7401404
961	427.7062757
962	427.6417328
963	427.588478
964	427.5352527
965	427.44081359966	427.4081844
967	427.4066375
968	427.3572164
969	427.3024787
970	427.2428515
971	427.2132373
972	427.1187905
973	427.0624072
974	426.983124
975	426.9155629
976	426.8476046
977	426.8364665
978	426.8042789
979	426.7852096
980	426.7081377
981	426.6535316
982	426.6010317
983	426.5313831
984	426.4743832
985	426.4548632
986	426.4478778
987	426.4375581
988	426.3906548
989	426.3666496
990	426.3492057
991	426.290796
992	426.2607387
993	426.2136531
994	426.1860174
995	426.1498265
996	426.1094307
997	426.0664129
998	426.0151986
999	425.9980651
99	416.1745021
361
