iter	Passed	Remaining
0	0	779
1	14	6999
2	14	4867
3	17	4332
4	17	3508
5	17	2957
6	21	2988
7	21	2643
8	21	2364
9	21	2149
10	24	2160
11	24	2006
12	24	1869
13	24	1750
14	25	1647
15	25	1556
16	25	1476
17	25	1405
18	25	1341
19	26	1283
20	26	1228
21	26	1181
22	26	1138
23	27	1098
24	27	1062
25	27	1028
26	27	997
27	27	968
28	28	941
29	28	916
30	28	893
31	28	871
32	29	850
33	29	831
34	29	812
35	29	795
36	29	778
37	30	763
38	30	748
39	30	734
40	30	720
41	31	721
42	39	875
43	40	874
44	40	869
45	44	926
46	45	921
47	45	905
48	45	891
49	46	876
50	46	863
51	46	849
52	46	837
53	47	824
54	47	813
55	47	801
56	47	790
57	48	780
58	48	770
59	48	760
60	48	751
61	50	759
62	57	849
63	57	839
64	57	828
65	58	821
66	58	811
67	58	801
68	58	792
69	60	800
70	60	797
71	61	792
72	61	784
73	61	775
74	62	767
75	62	759
76	62	751
77	63	747
78	63	740
79	63	732
80	64	728
81	64	723
82	65	729
83	66	722
84	66	715
85	66	710
86	67	706
87	67	700
88	68	698
89	68	691
90	68	685
91	68	679
92	69	674
93	69	668
94	69	665
95	70	662
96	70	656
97	70	652
98	71	647
99	71	645
100	72	643
101	72	639
102	72	635
103	73	632
104	73	629
105	74	625
106	74	620
107	74	617
108	75	613
109	75	612
110	75	608
111	76	604
112	76	600
113	76	595
114	76	591
115	77	587
116	77	584
117	78	583
118	78	579
119	78	575
120	78	571
121	78	568
122	79	564
123	79	560
124	80	560
125	80	557
126	80	556
127	81	552
128	81	550
129	81	548
130	82	545
131	83	548
132	83	545
133	83	542
134	84	538
135	84	535
136	84	531
137	84	528
138	84	525
139	85	522
140	85	519
141	85	516
142	85	513
143	86	514
144	86	511
145	86	508
146	87	506
147	87	503
148	87	500
149	87	497
150	88	495
151	88	492
152	88	490
153	88	487
154	89	485
155	89	483
156	89	481
157	89	478
158	89	475
159	90	473
160	90	470
161	90	468
162	90	465
163	90	463
164	91	460
165	91	458
166	91	455
167	91	453
168	91	451
169	91	448
170	92	446
171	92	444
172	92	442
173	92	439
174	92	437
175	92	435
176	93	433
177	93	431
178	93	429
179	93	427
180	94	426
181	94	424
182	94	423
183	95	422
184	95	421
185	96	420
186	96	418
187	96	417
188	97	417
189	97	415
190	97	413
191	97	412
192	98	410
193	98	408
194	98	407
195	99	406
196	99	405
197	99	403
198	100	402
199	100	401
200	100	400
201	101	399
202	101	398
203	101	396
204	101	394
205	102	393
206	102	392
207	102	390
208	102	389
209	103	388
210	103	386
211	103	384
212	103	383
213	104	382
214	104	380
215	104	379
216	104	378
217	104	376
218	105	375
219	105	373
220	105	372
221	106	371
222	106	370
223	106	369
224	107	368
225	107	368
226	107	367
227	108	366
228	108	365
229	108	364
230	108	362
231	109	361
232	109	360
233	109	359
234	109	358
235	110	356
236	110	355
237	110	354
238	110	353
239	111	352
240	111	351
241	111	350
242	112	349
243	112	348
244	112	347
245	112	346
246	113	345
247	113	344
248	113	343
249	114	343
250	114	342
251	115	342
252	115	342
253	116	341
254	116	341
255	117	340
256	117	339
257	117	338
258	118	338
259	118	337
260	119	337
261	119	336
262	119	334
263	119	333
264	120	332
265	120	331
266	120	330
267	120	330
268	121	329
269	121	329
270	122	328
271	122	327
272	122	326
273	123	326
274	123	326
275	124	325
276	124	324
277	124	324
278	125	323
279	125	322
280	125	321
281	126	321
282	126	320
283	126	320
284	127	319
285	127	318
286	128	318
287	128	317
288	128	317
289	129	316
290	129	316
291	130	315
292	130	314
293	130	314
294	131	313
295	131	313
296	132	312
297	132	312
298	132	311
299	133	311
300	133	310
301	134	309
302	134	309
303	134	308
304	135	308
305	135	307
306	136	307
307	136	307
308	137	307
309	137	306
310	138	306
311	138	305
312	139	306
313	139	305
314	140	305
315	140	305
316	141	304
317	141	303
318	141	302
319	141	301
320	142	301
321	142	300
322	143	300
323	143	299
324	143	299
325	144	298
326	144	298
327	145	297
328	145	296
329	146	296
330	146	295
331	146	295
332	147	295
333	147	294
334	148	294
335	148	294
336	149	293
337	149	293
338	150	293
339	150	292
340	151	292
341	151	291
342	151	291
